----------- single_objective_10Cent_50 -----------
-------------------- 1 ---------------------
log: gen	nevals	mean  	min	max
40 	60    	317   	306	461
41 	66    	321.06	306	535
42 	72    	323.15	306	504
43 	67    	323.29	306	536
44 	75    	333.36	306	504
45 	60    	319.79	306	497
46 	76    	315.79	306	497
47 	67    	324.34	306	543
48 	64    	322.01	306	497
49 	71    	316.76	306	490
50 	68    	322.49	306	549
51 	61    	333.16	306	567
52 	66    	316.85	306	633
53 	68    	326.62	306	574
54 	60    	319.21	306	527
55 	77    	318.53	306	615
56 	78    	325.2 	306	497
57 	71    	322.2 	306	526
58 	76    	329.76	306	504
59 	67    	324.97	306	605
60 	77    	323.8 	306	555
61 	60    	319.47	306	550
62 	74    	324.99	306	578
63 	65    	319.47	306	529
64 	76    	320.9 	306	490
65 	67    	323.89	306	515
66 	63    	322.31	306	508
67 	65    	317.17	306	532
68 	71    	318.51	306	537
69 	81    	330.69	306	490
70 	75    	320.93	306	534
71 	70    	326.27	306	490
72 	68    	316.97	306	519
73 	66    	321.02	306	543
74 	64    	315.19	306	475
75 	70    	318.71	306	573
76 	72    	318.75	306	497
77 	75    	326.32	306	557
78 	67    	328.35	306	499
79 	69    	320.64	306	475
80 	80    	327.4 	306	510
81 	61    	330.65	306	570
82 	66    	328.7 	306	504
83 	67    	316.39	306	497
84 	77    	324.36	306	527
85 	79    	326.9 	306	589
86 	70    	328.1 	306	552
87 	68    	334.77	306	608
88 	75    	322.9 	306	497
89 	60    	317.82	306	527
90 	65    	319.2 	306	484
91 	73    	325.14	306	550
92 	75    	325.36	306	515
93 	68    	312.17	306	521
94 	64    	321.36	306	497
95 	84    	330.55	306	536
96 	68    	325.26	306	535
97 	76    	335.44	306	637
98 	66    	322.21	306	504
99 	71    	320.25	306	554
100	69    	328.1 	306	536
-------------------- 5 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	544.27	440	653
1  	66    	501.97	407	606
2  	61    	476.88	365	581
3  	64    	460.26	365	632
4  	67    	441.75	344	577
5  	65    	413.52	319	575
6  	81    	403.03	319	545
7  	71    	378.85	319	612
8  	72    	373.24	319	557
9  	71    	368.25	319	561
10 	67    	343.27	319	537
11 	64    	340.95	319	559
12 	66    	331.71	319	581
13 	73    	336.54	319	553
14 	63    	337.9 	319	524
15 	71    	335.09	319	500
16 	71    	331.04	319	527
17 	75    	333.04	319	485
18 	77    	337.15	319	540
19 	65    	337.36	306	497
20 	68    	338.83	306	602
21 	75    	327.78	306	484
22 	79    	338.39	306	521
23 	74    	329.64	306	500
24 	64    	329.03	306	503
25 	73    	321.8 	306	535
26 	69    	326.18	306	504
27 	71    	323.84	306	604
28 	73    	324.06	306	592
29 	67    	325.31	306	497
30 	59    	321.51	306	504
31 	66    	319.02	306	511
32 	67    	322.12	306	506
33 	66    	323.88	306	512
34 	70    	324.43	306	578
35 	70    	332.88	306	555
36 	73    	322.74	306	497
37 	71    	317.68	306	572
38 	61    	327.32	306	506
39 	68    	316.7 	306	535
40 	67    	319.38	306	574
41 	67    	322.75	306	546
42 	69    	320.38	306	504
43 	74    	328.76	306	581
44 	75    	323.77	306	535
45 	81    	317.47	306	490
46 	64    	319.83	306	497
47 	74    	320.26	306	484
48 	73    	328.89	306	497
49 	70    	320.78	306	597
50 	75    	322.18	306	475
51 	71    	320.12	306	497
52 	70    	328.39	306	632
53 	70    	321.72	306	510
54 	66    	321.63	306	497
55 	63    	323.89	306	489
56 	63    	316.59	306	497
57 	68    	323.63	306	504
58 	69    	321.13	306	504
59 	72    	320.98	306	522
60 	68    	323.68	306	570
61 	70    	315.4 	306	585
62 	66    	321.54	306	497
63 	81    	338.03	306	632
64 	66    	319.87	306	504
65 	62    	327.81	306	593
66 	79    	333.25	306	517
67 	69    	330.88	306	504
68 	71    	321.63	306	519
69 	67    	326.92	306	497
70 	69    	321.15	306	573
71 	63    	322.69	306	580
72 	69    	325.53	306	495
73 	76    	321.02	306	577
74 	60    	326.44	306	484
75 	80    	339.46	306	637
76 	80    	324.97	306	553
77 	72    	325   	306	519
78 	76    	326.57	306	490
79 	72    	335.68	306	508
80 	68    	316.26	306	456
81 	75    	324.44	306	546
82 	68    	318.29	306	484
83 	62    	319.72	306	589
84 	80    	322.38	306	461
85 	67    	326.35	306	632
86 	74    	316.56	306	488
87 	80    	322.41	306	558
88 	73    	318.76	306	476
89 	66    	322.59	306	517
90 	69    	319.71	306	567
91 	65    	325.45	306	484
92 	64    	319.06	306	490
93 	70    	323.94	306	547
94 	68    	319.8 	306	490
95 	71    	334.29	306	597
96 	78    	328.12	306	568
97 	65    	322   	306	559
98 	66    	321.93	306	477
99 	71    	321.56	306	561
100	57    	319.66	306	525
-------------------- 6 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	546.95	439	647
1  	64    	509.72	420	651
2  	74    	484.63	378	591
3  	63    	457.29	365	617
4  	61    	447.84	365	632
5  	63    	420.71	364	553
6  	71    	410.67	336	627
7  	73    	393.78	306	554
8  	77    	384.5 	306	510
9  	67    	363.82	306	517
10 	71    	362.83	306	529
11 	69    	343.54	306	583
12 	65    	330.93	306	604
13 	69    	329.9 	306	506
14 	62    	332.42	306	612
15 	79    	324.06	306	504
16 	63    	317.34	306	488
17 	75    	327.31	306	597
18 	80    	323.96	306	504
19 	69    	321.33	306	484
20 	69    	333.93	306	633
21 	76    	327.35	306	633
22 	78    	323.08	306	535
23 	70    	320.95	306	476
24 	75    	318.27	306	461
25 	67    	326.57	306	550
26 	67    	329.59	306	504
27 	77    	318.68	306	518
28 	69    	328.48	306	504
29 	76    	322.36	306	578
30 	72    	319   	306	484
31 	62    	320.53	306	493
32 	67    	317.2 	306	490
33 	74    	331.32	306	535
34 	73    	322.35	306	484
35 	77    	332.13	306	615
36 	68    	317.31	306	443
37 	75    	326.03	306	605
38 	80    	326.87	306	498
39 	73    	325.51	306	574
40 	75    	328.27	306	532
41 	73    	320.28	306	557
42 	66    	319.21	306	497
43 	71    	323.32	306	497
44 	68    	317.07	306	497
45 	72    	321.23	306	497
46 	64    	323.45	306	475
47 	62    	319.05	306	497
48 	73    	322.7 	306	514
49 	73    	332.57	306	580
50 	64    	318.74	306	553
51 	58    	321.01	306	575
52 	71    	324.67	306	542
53 	75    	325.05	306	535
54 	69    	326.34	306	510
55 	71    	323.61	306	568
56 	74    	334.44	306	565
57 	72    	326.65	306	519
58 	70    	316.89	306	488
59 	71    	324.24	306	556
60 	54    	313.52	306	452
61 	71    	319.3 	306	497
62 	74    	335.58	306	569
63 	74    	319.61	306	475
64 	80    	327.49	306	504
65 	72    	322.65	306	504
66 	60    	322.07	306	506
67 	79    	332.05	306	570
