----------- single_objective_10Cent_50 -----------
-------------------- 1 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	548.46	374	644
1  	66    	510.4 	332	635
2  	61    	479.78	332	621
3  	64    	452.1 	332	607
4  	67    	426.2 	332	580
5  	65    	398.85	317	563
6  	81    	381.04	317	559
7  	71    	348.97	312	521
8  	72    	342.11	312	515
9  	71    	340.77	312	526
10 	67    	342.23	312	537
11 	64    	345.14	312	577
12 	66    	331.29	312	564
13 	73    	330.57	312	576
14 	63    	331.24	312	531
15 	71    	328.74	312	503
16 	71    	324.81	312	525
17 	75    	327.03	312	490
18 	77    	330.34	312	538
19 	65    	331.1 	312	519
20 	68    	333.06	312	582
21 	75    	321.85	312	496
22 	79    	333.25	312	521
23 	74    	328.03	312	518
24 	64    	329.58	312	489
25 	73    	327.55	312	555
26 	69    	331.61	312	503
27 	71    	328.93	312	598
28 	73    	329.77	312	606
29 	67    	330.87	312	510
30 	59    	327.59	312	503
31 	66    	324.46	312	510
32 	67    	327.85	312	496
33 	66    	328.73	312	515
34 	70    	329.48	312	575
35 	70    	337.66	312	572
36 	73    	328.57	312	510
37 	71    	323.57	312	568
38 	61    	332.22	312	510
39 	68    	322.33	312	515
40 	67    	325.74	312	578
41 	67    	328.31	312	563
42 	69    	326.72	312	503
43 	74    	334.6 	312	568
44 	75    	329.53	312	550
45 	81    	322.86	312	490
46 	64    	324.66	312	504
47 	74    	326.46	312	496
48 	73    	335.27	312	510
49 	70    	326.24	312	580
50 	75    	328.34	312	477
51 	71    	325.69	312	496
52 	70    	333.73	312	627
53 	70    	327.72	312	510
54 	66    	327.27	312	510
55 	63    	330.43	312	503
56 	63    	322.26	312	510
57 	68    	329.44	312	510
58 	69    	327.88	312	513
59 	72    	326.48	312	534
60 	68    	329.17	312	565
61 	70    	320.74	312	579
62 	66    	327.37	312	510
63 	81    	343.2 	312	627
64 	66    	325.35	312	503
65 	62    	332.87	312	571
66 	79    	338.64	312	531
67 	69    	336.98	312	513
68 	71    	327.2 	312	525
69 	67    	332.87	312	510
70 	69    	326.44	312	576
71 	63    	328.42	312	572
72 	69    	331.1 	312	491
73 	76    	327.08	312	578
74 	60    	331.37	312	496
75 	80    	345.12	312	637
76 	80    	330.63	312	556
77 	72    	330.92	312	510
78 	76    	332.01	312	490
79 	72    	340.76	312	503
80 	68    	322.32	312	458
81 	75    	330.55	312	563
82 	68    	324.58	312	497
83 	62    	325.11	312	578
84 	80    	327.13	312	469
85 	67    	331.85	312	627
86 	74    	322.34	312	491
87 	80    	328.84	312	581
88 	73    	325.09	312	505
89 	66    	328.01	312	518
90 	69    	325.38	312	573
91 	65    	331.24	312	496
92 	64    	324.41	312	490
93 	70    	329.29	312	535
94 	68    	325.44	312	490
95 	71    	340.45	312	595
96 	78    	333.63	312	554
97 	65    	327.88	312	563
98 	66    	327.98	312	472
99 	71    	327.79	312	546
100	57    	324.7 	312	481
-------------------- 6 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	541.76	421	660
1  	64    	493.19	380	602
2  	74    	472.57	380	617
3  	63    	455.7 	336	579
4  	61    	435.48	336	576
5  	63    	419.07	335	587
6  	71    	408.46	324	575
7  	73    	403.78	319	587
8  	77    	388.58	319	517
9  	67    	376.39	319	528
10 	71    	362.42	319	519
11 	69    	347.89	319	516
12 	65    	341.39	319	621
13 	69    	341.84	319	515
14 	62    	345.03	319	616
15 	79    	336.7 	319	500
16 	63    	329.39	306	484
17 	75    	337.23	306	617
18 	80    	336.44	306	500
19 	69    	330.13	306	481
20 	69    	339.48	306	633
21 	76    	327.74	306	633
22 	78    	323.08	306	535
23 	70    	320.95	306	476
24 	75    	318.27	306	461
25 	67    	326.57	306	550
26 	67    	329.59	306	504
27 	77    	318.68	306	518
28 	69    	328.48	306	504
29 	76    	322.36	306	578
30 	72    	319   	306	484
31 	62    	320.53	306	493
32 	67    	317.2 	306	490
33 	74    	331.32	306	535
34 	73    	322.35	306	484
35 	77    	332.13	306	615
36 	68    	317.31	306	443
37 	75    	326.03	306	605
38 	80    	326.87	306	498
39 	73    	325.51	306	574
40 	75    	328.27	306	532
41 	73    	320.28	306	557
42 	66    	319.21	306	497
43 	71    	323.32	306	497
44 	68    	317.07	306	497
45 	72    	321.23	306	497
46 	64    	323.45	306	475
47 	62    	319.05	306	497
48 	73    	322.7 	306	514
49 	73    	332.57	306	580
50 	64    	318.74	306	553
51 	58    	321.01	306	575
52 	71    	324.67	306	542
53 	75    	325.05	306	535
54 	69    	326.34	306	510
55 	71    	323.61	306	568
56 	74    	334.44	306	565
57 	72    	326.65	306	519
58 	70    	316.89	306	488
59 	71    	324.24	306	556
60 	54    	313.52	306	452
61 	71    	319.3 	306	497
62 	74    	335.58	306	569
63 	74    	319.61	306	475
64 	80    	327.49	306	504
65 	72    	322.65	306	504
66 	60    	322.07	306	506
67 	79    	332.05	306	570
68 	67    	321.6 	306	504
69 	71    	330.12	306	621
70 	79    	317.52	306	490
71 	71    	320.84	306	504
72 	69    	320.85	306	504
73 	69    	320.6 	306	490
74 	69    	327.42	306	570
75 	59    	319.19	306	475
76 	69    	322.06	306	565
77 	74    	324.15	306	535
78 	56    	321.07	306	521
79 	69    	328.75	306	605
80 	77    	320.15	306	468
81 	72    	318.88	306	491
82 	73    	319.26	306	645
83 	68    	335.91	306	511
84 	77    	321.74	306	535
85 	70    	323.13	306	589
86 	65    	314.73	306	484
87 	71    	324.84	306	490
88 	78    	327.93	306	567
89 	71    	318.71	306	484
90 	73    	321.4 	306	572
91 	72    	323.31	306	609
92 	71    	320   	306	522
93 	73    	330.83	306	523
94 	64    	322.95	306	508
95 	70    	320.89	306	554
96 	75    	322.17	306	549
97 	65    	317.23	306	505
98 	78    	326.38	306	607
99 	74    	320.9 	306	502
100	67    	326.4 	306	509
-------------------- 7 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	550.52	419	665
1  	76    	510.97	401	629
2  	70    	492.89	393	598
